Lateinisches Wort,Formen,Übersetzung,Zahl
mos maiorum,moris maiorum m,"das Sittengesetz der Vorfahren, das ungeschriebene Recht",35
mos maiorum,moris maiorum m,"das Sittengesetz der Vorfahren, das ungeschriebene Recht",29
mos,moris m,"die Sitte, der Brauch, Pl. die Gewohnheiten, der Charakter",38
mortuus,"-a, -um",tot,12
mortalis,mortale,"sterblich, Subst. der Sterbliche, der Mensch",21
mors,mortis f,der Tod,5
mori,"morior, mortuus sum",sterben,40
morbus,-i m,die Krankheit,30
morbus,-i m,die Krankheit,29
morbus,-i m,die Krankheit,28
morbus,-i m,die Krankheit,27
morari,"moror, moratus sum","aufhalten, sich aufhalten, verweilen",34
monstrum,-i n,das Ungeheuer,23
mons,montis m,der Berg,16
monere,-,"(er)mahnen, erinnern",2
mollis,molle,"weich, sanft",25
moenia,moenium n (Pl.),"die Mauer(n), die Stadtmauer(n)",27
modus,-i m,"die Art, die Weise, das maß",15
moderatus,"-a, -um","besonnen, ruhig, maßvoll",39
mittere,"mitto, misi, missum","schicken, senden",23
mittere,"mitto, misi, missum","schicken, senden",15
miseria,-ae f,"das Elend, das Unglück",28
miseri,-orum m (Pl.),die Armen,8
miser,"misera, miserum","arm, unglücklich, erbärmlich",8
miscere,"misceo, miscui, mixtum",mischen,42
mirus,"-a, -um","erstaunlich, sonderbar, wunderbar",15
mille,"Pl. milia, -ium",tausend,23
res militaris,rei militaris f,das Kriegswesen,32
militaris,militare,militärisch,32
miles,militis m,der Soldat,14
mihi ,(Dat.),mir,11
meus,"-a, -um",mein,16
metus,metus m,"die Angst, die Furcht",30
metus,metus m,"die Angst, die Furcht",29
metus,metus m,"die Angst, die Furcht",28
metus,metus m,"die Angst, die Furcht",27
in mentem venire,-,in den Sinn kommen,30
mens,mentis f,"der Geist, der Verstand",28
memoria tenere,-,"in Erinnerung haben, im Gedächtnis behalten",12
memoria,-ae f,"die Erinnerung, das Andenken, das gedächtnis",12
memorare,-,"in Erinnerung rufen, erwähnen, erzählen",23
mmembrum,-i n,"das (Körper-)Glied, Pl. die Gliedmaßen",39
meherc(u)le!,-,beim Herkules!,4
medius,"-a, -um","der mittlere, mitten in…",15
me,(Akk.),mich,11
maximus,"-a, -um","der größte, sehr groß",36
maximus,"-a, -um","der größte, sehr groß",35
maximus,"-a, -um","der größte, sehr groß",34
mater,matris f,die Mutter,5
maritus,-i m,der Ehemann,17
mare,maris n,das Meer,26
manus,manus f,"die Hand, die Schar",27
manere,"maneo, mansi, -","bleiben, warten (auf), erwarten",15
manere,"maneo, mansi, -","bleiben, warten (auf), erwarten",2
mandare,-,"übergeben, anvertrauen, auftragen",9
malus,"-a, -um","böse, schlecht, schlimm",8
malle,"malo, malui, -",lieber wollen,17
maiores,maiorum m (Pl.),die Vorfahren,16
magnus,"-a, -um","groß, bedeutend, wichtig",8
magnitudo,magnitudinis f,"die Größe, die Erhabenheit",15
magis,-,mehr,16
luxuriosus,"-a, -um",ausschweifend,42
luxuriosus,"-a, -um",ausschweifend,41
luxuriosus,"-a, -um",ausschweifend,40
luxuria ,-ae f,"der Überfluss, die Genusssucht",42
luxuria,-ae f,"der Überfluss, die Genusssucht",41
luxuria,-ae f,"der Überfluss, die Genusssucht",40
lux,lucis f,"das licht, das Tageslicht",22
poenam luere,-,"Strafe leiden, bestraft werden",35
luere,"luo, lui, -","büßen, bezahlen",35
ludus,-i m,"das Spiel, die Schule",5
ludus,-i m,"das Spiel, die Schule",2
luctus,luctus m,die Trauer,28
loqui,"loquor, locutus sum",sprechen,36
longus,"-a, -um","lang, lang anhaltend",30
longinquus,"-a, -um","entfernt, langwierig",33
longinquus,"-a, -um","entfernt, langwierig",32
longinquus,"-a, -um","entfernt, langwierig",31
locus,"-i m loca, -orum n Pl.","der Ort, der Platz, die Stelle, Pl. auch: die Gegend",16
locare,-,"legen, stellen, vermieten",9
litus,litoris n,"dieKüste, der Strand",15
littera,-ae f,"der Buchstabe, Pl. der Brief, die Literatur, die Wissenschaft(en)",19
lignum,-i n,das Holz,39
licet,licuit (m.Inf.),"es ist möglich (zu tun), es ist erlaubt (zu tun)",4
libertas,libertatis f,die Freiheit,15
liberi,-orum m(Pl.),die Kinder,4
